time_seconds,value,status_bits,status
1,true,0,{ok}
2,true,0,{ok}
3,true,0,{ok}
4,true,0,{ok}
5,true,0,{ok}
6,true,0,{ok}
7,true,0,{ok}
8,true,0,{ok}
9,true,0,{ok}
10,true,0,{ok}
11,false,0,{ok}
12,false,0,{ok}
13,false,0,{ok}
14,false,0,{ok}
15,false,0,{ok}
16,false,0,{ok}
17,false,0,{ok}
18,false,0,{ok}
19,false,0,{ok}
20,false,0,{ok}
21,true,0,{ok}
22,true,0,{ok}
23,true,0,{ok}
24,true,0,{ok}
25,true,0,{ok}
26,true,0,{ok}
27,true,0,{ok}
28,true,0,{ok}
29,true,0,{ok}
30,true,0,{ok}
31,false,0,{ok}
32,false,0,{ok}
33,false,0,{ok}
34,false,0,{ok}
35,false,0,{ok}
36,false,0,{ok}
37,false,0,{ok}
38,false,0,{ok}
39,false,0,{ok}
40,false,0,{ok}
